Bin,Count
402.08,151
403.36,151
404.64,151
405.92,302
407.2,2416.1
408.48,8456.4
409.76,18724.8
411.04,29899.3
412.32,42432.9
413.6,54890.9
414.88,64026.8
416.16,72483.2
417.44,75654.4
418.72,80411.1
420,84488.3
421.28,88716.4
422.56,91661.1
423.84,93095.6
425.12,93775.2
426.4,94077.2
427.68,93397.7
428.96,93850.7
430.24,92793.6
431.52,91283.6
432.8,89849
434.08,88263.4
435.36,85847.3
436.64,85167.8
437.92,82525.2
439.2,80637.6
440.48,78146
441.76,75201.3
443.04,72181.2
444.32,68557
445.6,65838.9
446.88,64026.8
448.16,59270.1
449.44,55721.5
450.72,52927.9
452,50511.7
453.28,45302
454.56,41300.3
455.84,39488.3
457.12,36241.6
458.4,33146
459.68,31711.4
460.96,28615.8
462.24,26954.7
463.52,25369.1
464.8,22651
466.08,21518.5
467.36,19328.9
468.64,17441.3
469.92,17063.8
471.2,16006.7
472.48,15025.2
473.76,14345.6
475.04,13364.1
476.32,12911.1
477.6,12231.5
478.88,11552
480.16,10872.5
481.44,10419.5
482.72,9588.9
484,9286.9
485.28,8682.9
486.56,8305.4
487.84,7776.8
489.12,7474.8
490.4,6719.8
491.68,6568.8
492.96,5738.3
494.24,5738.3
495.52,4832.2
496.8,4681.2
498.08,3926.2
499.36,3473.2
