normbin_0.6m,event_0.6m,normbin_0.6s,event_0.6s,,normbin_0.3m,event_0.3m,normbin_0.3s,event_0.3s
4.11,0,0.2527530152,0.8737864078,,10.8,0,0.08903606614,0.9905928149
4.1,0,0.3143681175,0.8737864078,,10.7,0,0.1877625901,1.003973725
4.1,0,0.3327215522,0.8737864078,,10.7,0,0.2097018176,1.00694726
4.09,0,0.341461283,2.038834951,,10.7,0,0.2984559654,1.018976563
4.09,0,0.4131270757,0.8737864078,,10.7,0,0.307431104,1.020193009
4.09,0,0.5105750743,2.038834951,,10.7,0,0.3742460242,1.029248777
4.08,0,0.5376682398,0.8737864078,,10.7,0,0.3966838706,1.032289893
4.08,0,0.5826778535,0.8737864078,,10.7,0,0.4530277959,1.039926473
4.07,0,0.5896696382,0.8737864078,,10.7,0,0.4610056968,1.041007758
4.07,0,0.6084600594,0.8737864078,,10.7,0,0.4849371036,1.781012624
4.07,0,0.6259395211,0.8737864078,,10.6,0,0.4954103945,1.045670803
4.06,0,0.6447299423,2.038834951,,10.6,0,0.5063777123,1.783918579
4.06,0,0.6530326866,0.8737864078,,10.6,0,0.5517543198,1.053307382
4.05,0,0.6796888656,0.8737864078,,10.6,0,0.5607294584,1.054523829
4.05,0,0.7334382101,0.8737864078,,10.6,0,0.5707018345,1.055875436
4.05,0,0.7596574026,0.8737864078,,10.6,0,0.6270434638,1.800273025
4.04,0,0.7863135815,2.038834951,,10.6,0,0.6823924475,1.071013435
4.04,0,0.8129697605,0.8737864078,,10.6,0,0.691367586,1.072229881
4.03,0,0.8579793742,0.8737864078,,10.6,0,0.704329379,1.810747979
4.03,0,0.8938122706,2.912621359,,10.6,0,0.7157999076,1.075541319
4.03,0,0.9021150149,0.8737864078,,10.5,0,0.7372382203,1.815208283
4.02,0,0.9117287188,2.038834951,,10.5,0,0.7591797439,1.081420809
4.02,0,0.9191574899,2.038834951,,10.5,0,0.792587204,1.085948693
4.01,0,0.9287711938,0.8737864078,,10.5,0,0.8599007431,1.095072041
4.01,0,0.9375109247,4.951456311,,10.5,0,0.8698731193,1.096423648
4.01,0,0.9462506555,3.786407767,,10.5,0,0.8793468766,1.097707674
4,0,0.9554273728,11.94174757,,10.5,0,0.9012838081,1.837442219
4,0,0.9646040902,24.75728155,,10.5,0,0.9127485967,2.94413808
3.99,0,0.973343821,55.77669903,,10.5,0,0.9237147664,4.050766361
3.99,0,0.9820835518,90,,10.4,0,0.9351523854,13.87580083
3.99,0,0.9908232826,144.9029126,,10.4,0,0.9460994217,21.12210418
3.98,0,1,180.8737864,,10.4,0,0.9570066603,41.13893169
3.98,0,1.008739731,173.0097087,,10.4,0,0.96741528,61.15569162
3.97,0,1.018353435,121.8932039,,10.4,0,0.9782566994,102.2930014
3.97,0,1.026656179,80.97087379,,10.4,0,0.9891298804,133.2384505
3.97,0,1.035832896,56.94174757,,10.4,0,1,165.1662477
3.96,0,1.044135641,11.94174757,,10.4,0,1.011552037,138.2760252
3.96,0,1.053312358,3.786407767,,10.4,0,1.023048587,129.1908604
3.95,0,1.07079182,0.8737864078,,10.4,0,1.034146396,88.05652421
3.95,0,,,,10.3,0,1.045281323,35.01121834
3.94,0,,,,10.3,0,1.055805891,17.82154732
3.94,0,,,,10.3,0,1.066800379,9.841456492
3.94,0,,,,10.3,0,1.077296247,1.861298083
3.93,0,,,,10.3,0,1.088262417,2.967926364
3.93,0,,,,10.3,0,,
3.92,0,,,,10.3,0,,
3.92,0,,,,10.3,0,,
3.92,0,,,,10.3,0,,
3.91,0,,,,10.2,0,,
3.91,0,,,,10.2,0,,
3.9,0,,,,10.2,0,,
3.9,0,,,,10.2,0,,
3.9,0,,,,10.2,0,,
3.89,0,,,,10.2,0,,
3.89,0,,,,10.2,0,,
3.88,0,,,,10.2,0,,
3.88,0,,,,10.2,0,,
3.88,0,,,,10.1,0,,
3.87,0,,,,10.1,0,,
3.87,0,,,,10.1,0,,
3.86,0,,,,10.1,0,,
3.86,0,,,,10.1,0,,
3.86,0,,,,10.1,0,,
3.85,0,,,,10.1,0,,
3.85,0,,,,10.1,0,,
3.84,0,,,,10.1,0,,
3.84,0,,,,10.1,0,,
3.84,0,,,,10,0,,
3.83,0,,,,10,0,,
3.83,0,,,,10,0,,
3.82,0,,,,10,0,,
3.82,0,,,,10,0,,
3.82,0,,,,9.99,0,,
3.81,0,,,,9.98,0,,
3.81,0,,,,9.97,0,,
3.8,0,,,,9.96,0,,
3.8,0,,,,9.95,0,,
3.8,0,,,,9.94,0,,
3.79,0,,,,9.93,0,,
3.79,0,,,,9.92,0,,
3.78,0,,,,9.91,0,,
3.78,0,,,,9.9,0,,
3.78,0,,,,9.88,0,,
3.77,0,,,,9.87,0,,
3.77,0,,,,9.86,0,,
3.76,0,,,,9.85,0,,
3.76,0,,,,9.84,0,,
3.76,0,,,,9.83,0,,
3.75,0,,,,9.82,0,,
3.75,0,,,,9.81,0,,
3.74,0,,,,9.8,0,,
3.74,0,,,,9.79,0,,
3.73,0,,,,9.78,0,,
3.73,0,,,,9.77,0,,
3.73,0,,,,9.76,0,,
3.72,0,,,,9.75,0,,
3.72,0,,,,9.74,0,,
3.71,0,,,,9.73,0,,
3.71,0,,,,9.72,0,,
3.71,0,,,,9.71,0,,
3.7,0,,,,9.69,0,,
3.7,0,,,,9.68,0,,
3.69,0,,,,9.67,0,,
3.69,0,,,,9.66,0,,
3.69,0,,,,9.65,0,,
3.68,0,,,,9.64,0,,
3.68,1,,,,9.63,0,,
3.67,0,,,,9.62,0,,
3.67,0,,,,9.61,0,,
3.67,0,,,,9.6,0,,
3.66,0,,,,9.59,0,,
3.66,0,,,,9.58,0,,
3.65,0,,,,9.57,0,,
3.65,0,,,,9.56,0,,
3.65,0,,,,9.55,0,,
3.64,0,,,,9.54,0,,
3.64,0,,,,9.53,0,,
3.63,0,,,,9.51,0,,
3.63,0,,,,9.5,0,,
3.63,0,,,,9.49,0,,
3.62,0,,,,9.48,0,,
3.62,0,,,,9.47,0,,
3.61,0,,,,9.46,0,,
3.61,0,,,,9.45,0,,
3.61,0,,,,9.44,0,,
3.6,0,,,,9.43,0,,
3.6,0,,,,9.42,0,,
3.59,0,,,,9.41,0,,
3.59,0,,,,9.4,0,,
3.59,0,,,,9.39,0,,
3.58,0,,,,9.38,0,,
3.58,0,,,,9.37,0,,
3.57,0,,,,9.36,0,,
3.57,0,,,,9.35,0,,
3.57,0,,,,9.33,0,,
3.56,0,,,,9.32,0,,
3.56,0,,,,9.31,0,,
3.55,0,,,,9.3,0,,
